vacancy_id,vacancy_name,company_name,company_dept,area,address,latitude,longitude,salary_from,salary_to,salary_currency,salary_gross,publication_time,last_changed,schedule,req,resp,cond,skills
72559304,Senior/Lead Data Scientist (Рекламная платформа),Сбер для экспертов,Сбер для экспертов,1,,,,,,,,2022-11-18 14:37:45,2022-11-27 07:01:20,FULL_DAY,"Умение строить новые модели и искать способы улучшить метрики и производительность текущих. Уверенное знание классических методов ML (кластеризация, классификация, регрессия...","Используя данные СБЕРа и технологические решения его экосистемы, мы сможем реализовать уникальный сервис на рынке digital marketing. Он позволит нам...","Интересные задачи по продуктам, влияющим одновременно на всю Экосистему: мы пишем продукты с 0, а значит никакого legacy и свобода...",
72357549,Data Scientist (DMAG),Лаборатория Касперского,,1,,,,,,,,2022-11-15 11:21:29,2022-11-23 16:03:06,REMOTE,,"Мы разрабатываем методы детектирования от составления обучающей выборки и выявление признаков, до реализации и контроля качества на production системах. ",,
68148229,Data Scientist (SberDevices),Сбер. IT,Сбер. IT,1,"Москва, Кутузовский проспект, 32",55.740421,37.532071,,,,,2022-11-15 11:15:01,2022-11-27 07:01:20,FULL_DAY,"Глубокое понимание нейросетевых архитектур (CNN, RNN, Transformer, MobileNet). Умение быстро разобрать статью с arxiv. Опыт работы с deep learning фреймворками...","Исследование и разработка моделей распознавания ключевых слов. Детекция рекламы, многоступенчатые модели kws. Фильтрация и обработка речевых данных для обучения. ","Самые инновационные, амбициозные проекты и задачи. Профессиональное обучение, семинары, тренинги, конференции, корпоративная библиотека. ДМС, страхование жизни. Свободный дресс-код. ",
72487579,Senior Data Scientist (оценка моделей),«РОСБАНК»,«РОСБАНК»,1,,,,,,,,2022-11-17 15:10:31,2022-11-21 08:40:30,REMOTE,Знание статистики и методов Machine Learning. Работа с большими данными. Умение программировать на Python и разбираться в чужом коде. ,"Валидировать, оценивать качество ML-моделей (benchmark) моделей Банка. Оценивать их бизнес-применение. Оформлять результаты валидации в отчет и предоставлять их...",Стабильный и прозрачный доход: зарплата и премии по результатам работы. Уникальная возможность – полностью дистанционный формат работы. Личностное развитие и рост...,
69404613,Senior / Lead Data scientist,ПартКом,,1,,,,,,,,2022-11-16 12:10:39,2022-11-16 12:10:39,REMOTE,"Опыт работы в Data science от 3-х лет. Знание технологий: sql, python, lightgbm, docker, kubernetes, airflow. Опыт работы с...","Создание моделей машинного обучения связанных с оптимизацией запасов, клиентским сервисом, прогнозом спроса, ценообразованием.",Удалённая работа по ТК с гибким утром. Возможность оплаты курсов и конференций. Автозапчасти со скидкой до 30%. ДМС после испытательного...,
72416209,"Data Scientist, Senior/Middle",ОКБ,,1,"Москва, Шлюзовая набережная, 4",55.731551,37.644261,,,,,2022-11-16 11:58:47,2022-11-16 13:23:23,FULL_DAY,Опыт работы не менее одного года в области аналитики и моделирования. Уверенный уровень работы с реляционными СУБД и корпоративными хранилищами...,"Постоянное совершенствования аналитических механизмов, используемых в розничных продуктах ОКБ (создание и прокачка умных мозгов «под капотом» наших сервисов). ","В ОКБ хранится ~600 млн. кредитных историй – это уникальная огромная база знаний о финансовых предпочтениях, финансовой жизни людей на протяжении...",
72462241,Senior Data Scientist / Аналитик данных,Netex24,,1,"Москва, Замоскворецкая линия, метро Динамо",55.789704,37.558212,,250000.0,RUR,False,2022-11-17 09:07:24,2022-11-24 13:00:55,FULL_DAY,"Опыт ведения проектов, базирующихся на сложном математическом аппарате, разработка алгоритмов машинного обучения и статистического анализа, реализация алгоритмов в виде программ...","Автоматическая система управления ликвидностью в обменнике. Разработка и настройка нейронных сетей и иных регрессионных/классификационных моделей. Области: финансовое прогнозирование, обработка...",Коворкинг А-класса в Москве на м. Динамо (удалённый формат работы по данной позиции не рассматривается). Варианты трудоустройства (на Ваш...,
72304215,Senior Data Scientist,"ЕвроХим, Минерально-Химическая Компания",,1,,,,,,,,2022-11-14 10:43:45,2022-11-14 10:43:45,FULL_DAY,Опыт разработки в роли аналитика данных (Data science) не менее 3-х лет. Опыт применения машинного обучения для реальных бизнес...,"Обработка данных, построение аналитических решений. Формирование гипотез и определение источников данных. Применение алгоритмов машинного обучения и инструментов для сбора и...","Оформление в соответствии с нормами ТК РФ, социальные гарантии. Крупные проекты в компании–лидере отрасли. Возможность модернизировать процессы реального производственного...",
71017285,Senior Data Scientist,АДВ,,1,"Москва, Космодамианская набережная, 52с1",55.732063,37.647235,,,,,2022-11-14 09:30:05,2022-11-14 09:30:05,FULL_DAY,"Высшее техническое или экономическое образование. Хорошее знание таких дисциплин как теория вероятности, математическая статистика, методы оптимизации, случайные процессы. ",Построение моделей продаж и других показателей для клиентов группы. Прогнозирование продаж и других KPIs клиентов на основе построенных моделей. ,"Офис м. Павелецкая, 10 минут пешком от метро. Гибридный график работы (Home Office/Office). Возможность профессионального развития и роста. ",
72487009,"Senior data scientist в ""Кошелек клиента""",Сбер для экспертов,Сбер для экспертов,1,,,,,,,,2022-11-17 14:53:24,2022-11-27 07:01:20,FULL_DAY,Высшее техническое или математическое образование. Опыт работы в сфере DS (желательно в банковской сфере) от трех лет. Глубокое понимание алгоритмов...,Разработка моделей машинного и глубокого обучения от сбора бизнес-требований до вывода моделей в прод. Подготовка ad-hoc аналитики в...,"Полный рабочий день, но гибкий график работы (можно выбрать режим начала работы в промежутке 7:00 - 10:30). ",
72345450,Middle Data Scientist - Python (Machine Learning),СОГАЗ: г. Москва,СОГАЗ: г. Москва,1,"Москва, проспект Академика Сахарова, 10",55.768699,37.641962,,,,,2022-11-17 11:50:53,2022-11-21 14:14:24,FULL_DAY,"Хорошее знание Python. Уверенный опыт разработки реляционных баз данных (postgree, Oracle или MSSQL). Желательно: Опыт применения любых из перечисленных средств...","Дообучение Модели машинного обучения на основании новых данных, в том числе: Контроль предобработки и обогащения новых данных, формирование обучающей выборки. ","Оформление по ТК РФ. Стабильная окладная часть, а также система премирования. Социальный пакет (ДМС со стоматологией, специальные предложения по страхованию...",
72460129,"Стажёр Data Scientist, Социальная коммерция, Автомодерация",Ozon Информационные технологии,Ozon Информационные технологии,1,"Москва, Краснопресненская набережная, 10",55.754775,37.563709,,,,,2022-11-17 08:39:45,2022-11-27 07:01:20,FULL_DAY,"учебных и pet-проектов): Стек: Python + PyTorch, OpenCV (для зрения). Образование - математика / программирование либо учебные программы (VK Data Academy...","Работать с данными - подготавливать данные для обучения / тестирования моделей (изображения, видео, аудио, тексты). Работать с моделями - ставить эксперименты по обучению...","Срочный трудовой договор на 6 месяцев. Возможность обучиться перспективной профессии на реальных задачах. Динамичный и быстроразвивающийся бизнес, ресурсы, возможность вместе...",
70862418,Data Scientist,Звук,,1,"Москва, Поклонная улица, 3",55.736174,37.533185,,,,,2022-11-10 13:02:17,2022-11-10 13:02:17,FULL_DAY,"Знать и уметь Python, SQL, Airflow. Общаться с бизнесом и конвертировать ""боли"" бизнеса в задачу на уровне данных, метрик, формулировки. ",Прогнозирование жизненного цикла пользователя. Решение задачи оттока. Решение задачи uplift-моделирования.,"Мы аккредитованная ИТ-компания, все преимущества распространяются на наших сотрудников в полном объеме. Возможность участвовать в развитии продуктов, которыми пользуются...",
72164203,Data Scientist,Датаномика,,1,"Москва, Кутузовский проспект, 32",55.740426,37.532071,200000.0,270000.0,RUR,False,2022-11-10 08:06:17,2022-11-18 13:59:21,FULL_DAY,"Уверенное владение Python, Git, Docker, знание SQL. Опыт работы с одной из следующих библиотек для обучения нейронных сетей: TensorFlow, Pytorch...",Взаимодействие с внутренним заказчиком - владельцем продукта. Поиск данных для обучения и дообучения моделей. Поиск оптимального решения по нефункциональным требованиям. ,"Задачу с достижимым результатом, понятным заказчиком и рынком. Достаточную свободу действий, инструментарий и необходимые ресурсы. Участие в проекте на стадии...",
72161998,Data Scientist,Marksman,,1,,,,,,,,2022-11-10 07:34:35,2022-11-25 12:47:27,FULL_DAY,"Пожелания к опыту: - Более 3 лет опыта в роль Data Scientist. - Знание библиотек и фреймворков машинного обучения, таких как pandas...","Роль будет сквозной, от понимания структуры и взаимосвязей в данных до исследовательского анализа данных и разработки функций до обучения моделей...","Релокация в Европу, полноценная помощь при переезде.",
